A SpaceX Falcon 9 rocket will launch the ZUMA payload in a launch procured by Northrop Grumman for an undisclosed c… https://t.co/brv834CVMm,spaceflashnews,2017-10-31 23:41:57,925508171191541761
"How Elon Musk, Jeff Bezos, and 19 other famous CEOs are doing, according to their employees https://t.co/rfu04DH3FE https://t.co/y2rTtDRykH",CustDriven,2017-10-31 23:42:04,925508200857665536
Meet Elon Musk -  A Living Legend https://t.co/7L7uY3TdDG https://t.co/B9pLLzj6KI,Taurushoroscop,2017-11-01 03:29:22,925565399927795712
ELON MUSK ฉบับสมบูรณ์ https://t.co/bnkKTNQBCr,iannnnn,2017-11-01 03:29:28,925565427387834368
"It is an exact prediction actually, Elon. The Bible calls it the ""Abomination of Desolation"", an army of super mach… https://t.co/WFrVgnLLBj",PutinSpaceSaga,2017-11-01 03:31:25,925565916133257216
Tesla Earnings: The Three Big Questions Elon Musk Faces Today - Fortune https://t.co/20igLk6WXJ #Tesla,mediat_tech,2017-11-01 19:31:51,925807616718229505
There literally only one man on the planet today who is dreaming as high as the #Concorde engineers did. Elon Musk.,TVFlipw2,2017-11-01 19:32:02,925807663769845767
I liked a @YouTube video https://t.co/Bb6sP5jwF5 The Story Of Elon Musk,Shakir_92,2017-11-01 19:32:21,925807743902060546
"Did you know that Elon Musk is starting yet another company? This time, he wants to tackle the human brain...

https://t.co/3ukYQqaWwg",ErinLavoie__,2017-11-01 20:02:12,925815255300755458
